E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\0\0_0.wav, 男, 33, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_110.wav, 男, 51, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_111.wav, 男, 40, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_112.wav, 男, 56, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_113.wav, 男, 51, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_114.wav, 男, 47, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_115.wav, 男, 45, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_116.wav, 男, 39, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_117.wav, 男, 47, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_118.wav, 男, 57, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_119.wav, 男, 39, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_12.wav, 男, 54, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_120.wav, 男, 40, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_121.wav, 男, 51, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_122.wav, 男, 55, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_123.wav, 男, 49, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_124.wav, 男, 47, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_125.wav, 男, 54, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_126.wav, 男, 37, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_127.wav, 男, 40, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_128.wav, 男, 55, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_129.wav, 男, 49, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_13.wav, 男, 55, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_130.wav, 男, 58, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_131.wav, 男, 47, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_132.wav, 男, 50, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_133.wav, 男, 45, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_134.wav, 男, 54, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_135.wav, 男, 58, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_136.wav, 男, 54, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_137.wav, 男, 51, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_138.wav, 男, 52, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_139.wav, 男, 58, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_14.wav, 男, 45, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_140.wav, 男, 50, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_141.wav, 男, 56, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_142.wav, 男, 53, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_143.wav, 男, 49, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_144.wav, 男, 51, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_145.wav, 男, 55, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_146.wav, 男, 56, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_147.wav, 男, 48, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_148.wav, 男, 42, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_149.wav, 男, 35, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_15.wav, 男, 36, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_150.wav, 男, 49, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_151.wav, 男, 43, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_152.wav, 男, 55, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_153.wav, 男, 50, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_154.wav, 男, 39, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_155.wav, 男, 45, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_156.wav, 男, 46, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_157.wav, 男, 39, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_158.wav, 男, 46, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_159.wav, 男, 40, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_16.wav, 女, 55, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_17.wav, 男, 49, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_18.wav, 男, 44, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_19.wav, 男, 46, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_2.wav, 男, 38, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_20.wav, 男, 36, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_21.wav, 男, 33, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_22.wav, 男, 51, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_23.wav, 男, 43, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_24.wav, 男, 43, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_25.wav, 男, 38, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_26.wav, 男, 50, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_27.wav, 男, 48, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_28.wav, 男, 49, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_29.wav, 男, 36, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_3.wav, 男, 30, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_30.wav, 女, 55, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_31.wav, 男, 43, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_32.wav, 男, 41, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_33.wav, 男, 43, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_34.wav, 男, 32, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_35.wav, 男, 51, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_36.wav, 男, 40, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_37.wav, 男, 44, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_38.wav, 男, 49, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_39.wav, 男, 44, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_4.wav, 男, 53, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_40.wav, 男, 53, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_41.wav, 男, 45, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_42.wav, 男, 51, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_43.wav, 男, 52, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_44.wav, 男, 48, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_45.wav, 男, 41, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_46.wav, 男, 47, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_47.wav, 男, 40, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_48.wav, 男, 50, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_49.wav, 男, 59, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_5.wav, 女, 61, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_50.wav, 男, 56, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_51.wav, 男, 36, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_52.wav, 男, 59, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_53.wav, 男, 53, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_54.wav, 男, 29, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_55.wav, 男, 25, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_56.wav, 男, 46, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_57.wav, 男, 54, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_58.wav, 男, 43, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_59.wav, 男, 55, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_6.wav, 男, 52, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_60.wav, 男, 52, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_61.wav, 男, 32, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_62.wav, 男, 31, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_63.wav, 男, 55, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_64.wav, 男, 39, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_65.wav, 男, 49, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_66.wav, 男, 55, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_67.wav, 男, 51, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_68.wav, 男, 51, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_69.wav, 男, 53, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_7.wav, 男, 40, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_70.wav, 男, 39, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_71.wav, 男, 53, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_72.wav, 男, 39, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_73.wav, 男, 45, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_74.wav, 男, 49, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_75.wav, 男, 53, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_76.wav, 男, 39, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_77.wav, 男, 41, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_78.wav, 男, 52, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_79.wav, 男, 47, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_8.wav, 男, 52, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_80.wav, 男, 41, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_81.wav, 男, 54, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_82.wav, 男, 34, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_83.wav, 男, 44, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_84.wav, 男, 38, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_85.wav, 男, 45, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_86.wav, 男, 38, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_87.wav, 男, 47, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_88.wav, 男, 41, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_89.wav, 男, 52, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_9.wav, 男, 49, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_90.wav, 男, 35, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_91.wav, 男, 42, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_92.wav, 男, 44, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_93.wav, 男, 55, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_94.wav, 男, 50, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_95.wav, 男, 51, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_96.wav, 男, 44, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_97.wav, 男, 52, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_98.wav, 男, 50, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\2\2_99.wav, 男, 35, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_0.wav, 女, 37, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_1.wav, 女, 54, 难过
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_10.wav, 女, 29, 难过
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_11.wav, 女, 29, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_12.wav, 女, 40, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_13.wav, 女, 35, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_14.wav, 女, 34, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_15.wav, 女, 38, 难过
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_16.wav, 女, 60, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_17.wav, 女, 44, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_18.wav, 女, 44, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_19.wav, 女, 33, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_2.wav, 女, 45, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_20.wav, 女, 50, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_21.wav, 女, 60, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_22.wav, 女, 45, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_23.wav, 女, 44, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_24.wav, 女, 21, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_25.wav, 女, 31, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_26.wav, 女, 35, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_27.wav, 女, 46, 难过
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_28.wav, 女, 44, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_29.wav, 女, 35, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_3.wav, 女, 56, 难过
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_30.wav, 女, 55, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_31.wav, 女, 46, 难过
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_32.wav, 女, 26, 难过
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_33.wav, 女, 47, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_34.wav, 女, 42, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_35.wav, 女, 24, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_36.wav, 女, 28, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_37.wav, 女, 38, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_38.wav, 女, 36, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_39.wav, 女, 40, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_4.wav, 女, 67, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_40.wav, 女, 65, 难过
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_41.wav, 女, 48, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_42.wav, 女, 59, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_43.wav, 女, 49, 难过
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_44.wav, 女, 32, 中立
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_45.wav, 女, 43, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_46.wav, 女, 27, 生气
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_47.wav, 女, 54, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_48.wav, 女, 40, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_49.wav, 女, 23, 开心
E:\2_PYTHON\Project\StoryTeller\0_downLoad_Audio\3_speaker_wav\1-5\3\3_5.wav, 女, 54, 难过
